Ulasan Asli,1_Lower_Elongated,2_Emoji_to_Word,3_Slang_Normalization,4_Stemming,5_Handle_Negation,6_Final_Cleaned (Stopwords)
Scan eror. Abis di scan lgsung freeze,scan eror. abis di scan lgsung freeze,scan eror. abis di scan lgsung freeze,scan eror. abis di scan lgsung freeze,scan eror abis di scan lgsung freeze,scan eror abis di scan lgsung freeze,scan eror abis scan lgsung freeze
Tidak aktif,tidak aktif,tidak aktif,tidak aktif,tidak aktif,tidak_aktif,tidak_aktif
Untuk bisa lebih ditingkatkan kualitas layanannya..terutama masalah jaminan konektivitas....masih sering bermasalah..,untuk bisa lebih ditingkatkan kualitas layanannya..terutama masalah jaminan konektivitas..masih sering bermasalah..,untuk bisa lebih ditingkatkan kualitas layanannya..terutama masalah jaminan konektivitas..masih sering bermasalah..,untuk bisa lebih tingkat kualitas layanannya..terutama masalah jaminan konektivitas..masih sering bermasalah..,untuk bisa lebih tingkat kualitas layan utama masalah jamin konektivitas masih sering masalah,untuk bisa lebih tingkat kualitas layan utama masalah jamin konektivitas masih sering masalah,bisa lebih tingkat kualitas layan utama masalah jamin konektivitas masalah
"Saya ber KTP kabupaten Bantul , Yogyakarta , Sayang sekali TIDAK BISA MASUK DI APLIKASI INI . KE DEPANNYA , Kiranya wni yang ber KTP di wilayah D.I. Yogyakarta Bisa Masuk di sini . thank you .","saya ber ktp kabupaten bantul , yogyakarta , sayang sekali tidak bisa masuk di aplikasi ini . ke depannya , kiranya wni yang ber ktp di wilayah d.i. yogyakarta bisa masuk di sini . thank you .","saya ber ktp kabupaten bantul , yogyakarta , sayang sekali tidak bisa masuk di aplikasi ini . ke depannya , kiranya wni yang ber ktp di wilayah d.i. yogyakarta bisa masuk di sini . thank you .","saya ber kartu tanda penduduk kabupaten bantul , yogyakarta , sayang sekali tidak bisa masuk di aplikasi ini . ke depannya , kiranya wni yang ber kartu tanda penduduk di wilayah d.i. yogyakarta bisa masuk di sini . thank you .",saya ber kartu tanda duduk kabupaten bantul yogyakarta sayang sekali tidak bisa masuk di aplikasi ini ke depan kira wni yang ber kartu tanda duduk di wilayah d i yogyakarta bisa masuk di sini thank you,saya ber kartu tanda duduk kabupaten bantul yogyakarta sayang sekali tidak_bisa masuk di aplikasi ini ke depan kira wni yang ber kartu tanda duduk di wilayah d i yogyakarta bisa masuk di sini thank you,ber kartu tanda duduk kabupaten bantul sayang tidak_bisa depan kira wni ber kartu tanda duduk wilayah d i bisa sini thank you
Blom maksimal.,blom maksimal.,blom maksimal.,belum maksimal.,belum maksimal,belum_maksimal,belum_maksimal
"Terjadi bug .Saat menggeser layar ke bawah,tiba tiba kembali lagi ke atas,mohon diperbaiki","terjadi bug .saat menggeser layar ke bawah,tiba tiba kembali lagi ke atas,mohon diperbaiki","terjadi bug .saat menggeser layar ke bawah,tiba tiba kembali lagi ke atas,mohon diperbaiki","terjadi bug .saat menggeser layar ke bawah,tiba tiba kembali lagi ke atas,mohon perbaiki",jadi bug saat geser layar ke bawah tiba tiba kembali lagi ke atas mohon baik,jadi bug saat geser layar ke bawah tiba tiba kembali lagi ke atas mohon baik,jadi bug geser layar bawah tiba tiba kembali lagi atas baik
Sering ga muncul notif waktu absensi. Kecuali kalo aplikasinya posisi dibuka baru muncul notif.,sering ga muncul notif waktu absensi. kecuali kalo aplikasinya posisi dibuka baru muncul notif.,sering ga muncul notif waktu absensi. kecuali kalo aplikasinya posisi dibuka baru muncul notif.,sering tidak muncul notif waktu absensi. kecuali kalau aplikasinya posisi dibuka baru muncul notif.,sering tidak muncul notif waktu absensi kecuali kalau aplikasi posisi buka baru muncul notif,sering tidak_muncul notif waktu absensi kecuali kalau aplikasi posisi buka baru muncul notif,tidak_muncul absensi kecuali posisi baru muncul
Masih byk yg osnya kitkat..tdk bs install,masih byk yg osnya kitkat..tdk bs install,masih byk yg osnya kitkat..tdk bs install,masih banyak yg osnya kitkat..tdk bs install,masih banyak yg osnya kitkat tdk bs install,masih banyak yg osnya kitkat tdk bs install,banyak yg osnya kitkat tdk bs install
"Bagian konsultasi siswa, masuk ke bagian bank soal & download setiap dibuka masih keder/gerak ke atas terus padahal sudah saya gerakin ke bawah & jg error. Selebihnya sudah oke","bagian konsultasi siswa, masuk ke bagian bank soal & download setiap dibuka masih keder/gerak ke atas terus padahal sudah saya gerakin ke bawah & jg error. selebihnya sudah oke","bagian konsultasi siswa, masuk ke bagian bank soal & download setiap dibuka masih keder/gerak ke atas terus padahal sudah saya gerakin ke bawah & jg error. selebihnya sudah oke","bagian konsultasi siswa, masuk ke bagian bank soal & download setiap dibuka masih keder/gerak ke atas terus padahal sudah saya gerakin ke bawah & juga error. selebihnya sudah oke",bagi konsultasi siswa masuk ke bagi bank soal download tiap buka masih keder gerak ke atas terus padahal sudah saya gerakin ke bawah juga error lebih sudah oke,bagi konsultasi siswa masuk ke bagi bank soal download tiap buka masih keder gerak ke atas terus padahal sudah saya gerakin ke bawah juga error lebih sudah oke,bagi konsultasi siswa bagi bank soal download tiap keder gerak atas terus padahal gerakin bawah error lebih oke
"Sayang apknya cuma buat warga kota Yogyakarta saja, warga kabupaten tidak bisa. Udah gitu daftarnya ribet bgt.","sayang apknya cuma buat warga kota yogyakarta saja, warga kabupaten tidak bisa. udah gitu daftarnya ribet bgt.","sayang apknya cuma buat warga kota yogyakarta saja, warga kabupaten tidak bisa. udah gitu daftarnya ribet bgt.","sayang apknya cuma buat warga kota yogyakarta saja, warga kabupaten tidak bisa. udah gitu daftarnya sulit bgt.",sayang apknya cuma buat warga kota yogyakarta saja warga kabupaten tidak bisa udah gitu daftar sulit bgt,sayang apknya cuma buat warga kota yogyakarta saja warga kabupaten tidak_bisa udah gitu daftar sulit bgt,sayang apknya cuma warga kota warga kabupaten tidak_bisa udah gitu sulit bgt
masih berat aplikasinya,masih berat aplikasinya,masih berat aplikasinya,masih berat aplikasinya,masih berat aplikasi,masih berat aplikasi,berat
Free WiFinya susah di akses,free wifinya susah di akses,free wifinya susah di akses,free wifinya sulit di akses,free wifinya sulit di akses,free wifinya sulit di akses,free wifinya sulit
Nunggu lama tau2 ditolak permohonannya. Padahal syarat sudah lengkap,nunggu lama tau2 ditolak permohonannya. padahal syarat sudah lengkap,nunggu lama tau2 ditolak permohonannya. padahal syarat sudah lengkap,nunggu lama tau2 ditolak permohonannya. padahal syarat sudah lengkap,nunggu lama tau2 tolak mohon padahal syarat sudah lengkap,nunggu lama tau tolak mohon padahal syarat sudah lengkap,nunggu lama tau tolak padahal syarat lengkap
Susah masuk,susah masuk,susah masuk,sulit masuk,sulit masuk,sulit masuk,sulit
"Menu laporan saya tidak berfungsi ,tidak ada data muncul","menu laporan saya tidak berfungsi ,tidak ada data muncul","menu laporan saya tidak berfungsi ,tidak ada data muncul","menu laporan saya tidak berfungsi ,tidak ada data muncul",menu lapor saya tidak fungsi tidak ada data muncul,menu lapor saya tidak_fungsi tidak_ada data muncul,tidak_fungsi tidak_ada muncul
Penuh perjuangan dan kesabaran,penuh perjuangan dan kesabaran,penuh perjuangan dan kesabaran,penuh perjuangan dan kesabaran,penuh juang dan sabar,penuh juang dan sabar,penuh juang sabar
Susah dibuka,susah dibuka,susah dibuka,sulit dibuka,sulit buka,sulit buka,sulit
"Lambat, pake kuota maupun wifi","lambat, pake kuota maupun wifi","lambat, pake kuota maupun wifi","lambat, pake kuota maupun wifi",lambat pake kuota maupun wifi,lambat pake kuota maupun wifi,lambat pake kuota maupun wifi
mohon di Bantu Versi Terbaru tidak bisa digunakan presensi,mohon di bantu versi terbaru tidak bisa digunakan presensi,mohon di bantu versi terbaru tidak bisa digunakan presensi,mohon di bantu versi terbaru tidak bisa digunakan presensi,mohon di bantu versi baru tidak bisa guna presensi,mohon di bantu versi baru tidak_bisa guna presensi,bantu versi baru tidak_bisa guna presensi
JELEK BANGET SERING TROUBLE,jelek banget sering trouble,jelek banget sering trouble,jelek banget sering trouble,jelek banget sering trouble,jelek banget sering trouble,jelek trouble
gak baik bgt aplikasinya lemot banget,gak baik bgt aplikasinya lemot banget,gak baik bgt aplikasinya lemot banget,tidak baik banget aplikasinya lambat banget,tidak baik banget aplikasi lambat banget,tidak_baik banget aplikasi lambat banget,tidak_baik lambat
gak suka banget SAMA APLIKASI SAMPAH INI BIKIN RIBET BUKAN BIKIN GAMPANG,gak suka banget sama aplikasi sampah ini bikin ribet bukan bikin gampang,gak suka banget sama aplikasi sampah ini bikin ribet bukan bikin gampang,tidak suka banget sama aplikasi sampah ini bikin sulit bukan bikin gampang,tidak suka banget sama aplikasi sampah ini bikin sulit bukan bikin gampang,tidak_suka banget sama aplikasi sampah ini bikin sulit bukan_bikin gampang,tidak_suka sama sampah bikin sulit bukan_bikin gampang
Gak bisa daftar.,gak bisa daftar.,gak bisa daftar.,tidak bisa daftar.,tidak bisa daftar,tidak_bisa daftar,tidak_bisa
Agak lemot,agak lemot,agak lemot,agak lambat,agak lambat,agak lambat,agak lambat
"App OP bangat , selalu gak bisa di pake🎉","app op bangat , selalu gak bisa di pake🎉","app op bangat , selalu gak bisa di pake party popper ","aplikasi op bangat , selalu tidak bisa di pake party popper",aplikasi op bangat selalu tidak bisa di pake party popper,aplikasi op bangat selalu tidak_bisa di pake party popper,op bangat tidak_bisa pake party popper
gak bagus nyusahinnn,gak bagus nyusahinn,gak bagus nyusahinn,tidak bagus nyusahinn,tidak bagus nyusahinn,tidak_bagus nyusahinn,tidak_bagus nyusahinn
ra apik aplikasine,ra apik aplikasine,ra apik aplikasine,tidak bagus aplikasine,tidak bagus aplikasine,tidak_bagus aplikasine,tidak_bagus aplikasine
ra bagusss,ra baguss,ra baguss,tidak bagus,tidak bagus,tidak_bagus,tidak_bagus
ra apik ra guna ,ra apik ra guna ,ra apik ra guna ,tidak bagus tidak guna,tidak bagus tidak guna,tidak_bagus tidak_guna,tidak_bagus tidak_guna
ra guno aplikasi elek,ra guno aplikasi elek,ra guno aplikasi elek,tidak guno aplikasi jelek,tidak guno aplikasi jelek,tidak_guno aplikasi jelek,tidak_guno jelek
ra mutuuu,ra mutuu,ra mutuu,tidak mutuu,tidak mutuu,tidak_mutuu,tidak_mutuu
kurang bagus buat digunakan,kurang bagus buat digunakan,kurang bagus buat digunakan,kurang bagus buat digunakan,kurang bagus buat guna,kurang_bagus buat guna,kurang_bagus guna
kurang cepat responnya,kurang cepat responnya,kurang cepat responnya,kurang cepat respons,kurang cepat respons,kurang_cepat respons,kurang_cepat respons
aplikasinya berat sekali ,aplikasinya berat sekali ,aplikasinya berat sekali ,aplikasinya berat sekali,aplikasi berat sekali,aplikasi berat sekali,berat
Aplikasinya jelek dan lemot sekali,aplikasinya jelek dan lemot sekali,aplikasinya jelek dan lemot sekali,aplikasinya jelek dan lambat sekali,aplikasi jelek dan lambat sekali,aplikasi jelek dan lambat sekali,jelek lambat
aplikasinya tidak menarik biasa aja,aplikasinya tidak menarik biasa aja,aplikasinya tidak menarik biasa aja,aplikasinya tidak menarik biasa aja,aplikasi tidak tarik biasa aja,aplikasi tidak_tarik biasa aja,tidak_tarik biasa
kurang menarik coba dibuat lebih meriah lagi,kurang menarik coba dibuat lebih meriah lagi,kurang menarik coba dibuat lebih meriah lagi,kurang menarik coba dibuat lebih meriah lagi,kurang tarik coba buat lebih riah lagi,kurang_tarik coba buat lebih riah lagi,kurang_tarik coba lebih riah lagi
GAK TERTARIK MAAF,gak tertarik maaf,gak tertarik maaf,tidak tertarik maaf,tidak tarik maaf,tidak_tarik maaf,tidak_tarik maaf
tidak nyaman tampilannya jelek,tidak nyaman tampilannya jelek,tidak nyaman tampilannya jelek,tidak nyaman tampilannya jelek,tidak nyaman tampil jelek,tidak_nyaman tampil jelek,tidak_nyaman tampil jelek
lemot dadi ra nyaman,lemot dadi ra nyaman,lemot dadi ra nyaman,lambat jadi tidak nyaman,lambat jadi tidak nyaman,lambat jadi tidak_nyaman,lambat jadi tidak_nyaman
"Pengalaman sya sih, ni aplikasi bukan mempermudah malah makin ribet 😒","pengalaman sya sih, ni aplikasi bukan mempermudah malah makin ribet 😒","pengalaman sya sih, ni aplikasi bukan mempermudah malah makin ribet  unamused face ","pengalaman sya sih, ni aplikasi bukan mempermudah justru makin sulit unamused face",alam sya sih ni aplikasi bukan mudah justru makin sulit unamused face,alam sya sih ni aplikasi bukan_mudah justru makin sulit unamused face,alam sya ni bukan_mudah justru makin sulit unamused face
tidak nyaman digunakan lemot ribet,tidak nyaman digunakan lemot ribet,tidak nyaman digunakan lemot ribet,tidak nyaman digunakan lambat sulit,tidak nyaman guna lambat sulit,tidak_nyaman guna lambat sulit,tidak_nyaman guna lambat sulit
notifnya bikin kaget 😑,notifnya bikin kaget 😑,notifnya bikin kaget  expressionless face ,notifnya bikin kaget expressionless face,notifnya bikin kaget expressionless face,notifnya bikin kaget expressionless face,notifnya bikin kaget expressionless face
Saya menulis ini.. Masih muyer muyer gak mau di download...,saya menulis ini.. masih muyer muyer gak mau di download..,saya menulis ini.. masih muyer muyer gak mau di download..,saya menulis ini.. masih muyer muyer tidak mau di download..,saya tulis ini masih muyer muyer tidak mau di download,saya tulis ini masih muyer muyer tidak_mau di download,tulis muyer muyer tidak_mau download
Banyak sistem yang belum bisa di akses.. Padahal sangat membantu,banyak sistem yang belum bisa di akses.. padahal sangat membantu,banyak sistem yang belum bisa di akses.. padahal sangat membantu,banyak sistem yang belum bisa di akses.. padahal sangat bantu,banyak sistem yang belum bisa di akses padahal sangat bantu,banyak sistem yang belum_bisa di akses padahal sangat bantu,banyak belum_bisa padahal sangat bantu
temanya kog jd merah gini .... Akses cctv juga g bisa semua ...,temanya kog jd merah gini .. akses cctv juga g bisa semua ..,temanya kog jd merah gini .. akses cctv juga g bisa semua ..,temanya kog jd merah gini .. akses cctv juga tidak bisa semua ..,tema kog jd merah gin akses cctv juga tidak bisa semua,tema kog jd merah gin akses cctv juga tidak_bisa semua,kog jd merah gin tidak_bisa semua
aplikasi marai mumet... meng arep ndelok nomor kk we mubeng minger...,aplikasi marai mumet.. meng arep ndelok nomor kk we mubeng minger..,aplikasi marai mumet.. meng arep ndelok nomor kk we mubeng minger..,aplikasi bikin mumet.. meng arep lihat nomor kartu keluarga we lambat minger..,aplikasi bikin mumet meng arep lihat nomor kartu keluarga we lambat minger,aplikasi bikin mumet meng arep lihat nomor kartu keluarga we lambat minger,bikin mumet meng arep kartu keluarga we lambat minger
kadang aplikasi nya blank gitu aja,kadang aplikasi nya blank gitu aja,kadang aplikasi nya blank gitu aja,kadang aplikasi nya blank gitu aja,kadang aplikasi nya blank gitu aja,kadang aplikasi nya blank gitu aja,blank gitu
"Rasah gawe aplikasi !!!!! Kemaren disuruh kelurahan KTP gnti stts suruh wa sesuai templekan neng nduwur ,udh wa smpe hrus klik link ikt antri udh dtggu jawabane trnyta ZONK ,owlah suruh lwt aplikasi ini !!!!!,dlu aja lwt wa lebih enak kenapa lwt aplikasi ,aplikasinya aja jelek bgt !!!!! Cri vaksin aja gak prnh dpt akhire lwt RT ,sistem bobrok skali gais !!!","rasah gawe aplikasi !! kemaren disuruh kelurahan ktp gnti stts suruh wa sesuai templekan neng nduwur ,udh wa smpe hrus klik link ikt antri udh dtggu jawabane trnyta zonk ,owlah suruh lwt aplikasi ini !!,dlu aja lwt wa lebih enak kenapa lwt aplikasi ,aplikasinya aja jelek bgt !! cri vaksin aja gak prnh dpt akhire lwt rt ,sistem bobrok skali gais !!","rasah gawe aplikasi !! kemaren disuruh kelurahan ktp gnti stts suruh wa sesuai templekan neng nduwur ,udh wa smpe hrus klik link ikt antri udh dtggu jawabane trnyta zonk ,owlah suruh lwt aplikasi ini !!,dlu aja lwt wa lebih enak kenapa lwt aplikasi ,aplikasinya aja jelek bgt !! cri vaksin aja gak prnh dpt akhire lwt rt ,sistem bobrok skali gais !!","rasah buat aplikasi !! kemaren disuruh kelurahan kartu tanda penduduk gnti stts suruh wa sesuai templekan neng nduwur ,udh wa smpe hrus klik link ikt antri sudah dtggu jawabane trnyta gagal ,owlah suruh lwt aplikasi ini !!,dlu aja lwt wa lebih enak kenapa lwt aplikasi ,aplikasinya aja jelek banget !! cri vaksin aja tidak prnh dpt akhire lwt rt ,sistem bobrok skali gais !!",rasah buat aplikasi kemaren suruh lurah kartu tanda duduk gnti stts suruh wa sesuai templek neng nduwur udh wa smpe hrus klik link ikt antri sudah dtggu jawabane trnyta gagal owlah suruh lwt aplikasi ini dlu aja lwt wa lebih enak kenapa lwt aplikasi aplikasi aja jelek banget cri vaksin aja tidak prnh dpt akhire lwt rt sistem bobrok skali gais,rasah buat aplikasi kemaren suruh lurah kartu tanda duduk gnti stts suruh wa sesuai templek neng nduwur udh wa smpe hrus klik link ikt antri sudah dtggu jawabane trnyta gagal owlah suruh lwt aplikasi ini dlu aja lwt wa lebih enak kenapa lwt aplikasi aplikasi aja jelek banget cri vaksin aja tidak_prnh dpt akhire lwt rt sistem bobrok skali gais,rasah kemaren suruh lurah kartu tanda duduk gnti stts suruh wa sesuai templek neng nduwur udh wa smpe hrus klik link ikt antri dtggu jawabane trnyta gagal owlah suruh lwt dlu lwt wa lebih enak lwt jelek cri vaksin tidak_prnh dpt akhire lwt rt bobrok skali
